n,Fn,time_sec
1,1,0.0000011000
2,1,0.0000005000
3,2,0.0000005000
4,3,0.0000005000
5,5,0.0000010000
6,8,0.0000010000
7,13,0.0000013000
8,21,0.0000024000
9,34,0.0000031000
10,55,0.0000133000
11,89,0.0000160000
12,144,0.0000013000
13,233,0.0000026000
14,377,0.0000051000
15,610,0.0000059000
16,987,0.0000069000
17,1597,0.0000217000
18,2584,0.0000188000
19,4181,0.0000300000
20,6765,0.0000263000
21,10946,0.0000446000
22,17711,0.0000666000
23,28657,0.0001074000
24,46368,0.0001739000
25,75025,0.0002810000
26,121393,0.0004543000
27,196418,0.0007525000
28,317811,0.0011897000
29,514229,0.0019303000
30,832040,0.0031174000
31,1346269,0.0050741000
32,2178309,0.0077153000
33,3524578,0.0121579000
34,5702887,0.0190223000
35,9227465,0.0310942000
36,14930352,0.0499958000
37,24157817,0.0801079000
38,39088169,0.1300999000
39,63245986,0.2134279000
40,102334155,0.3479653000
41,165580141,0.5545825000
42,267914296,0.8966252000
43,433494437,1.4500534000
44,701408733,2.3527902000
45,1134903170,3.8648576000
46,1836311903,6.9582399000
47,2971215073,11.6615043000
48,4807526976,17.8548514000
49,7778742049,27.5788792000
50,12586269025,45.1944002000
